App name;Description from Google Store;Play Store URL;Description from GetAPK;GetAPK URL;Description from Apk Pure;Apk Pure URL;Description from App Brain;App Brain URL;Packet name;Is package name found?
YouTube;Pobierz oficjaln¹ aplikacjê YouTube na telefony i tablety z Androidem. Zobacz, co ogl¹da œwiat – od najpopularniejszych klipów muzycznych po filmy o grach, filmy rozrywkowe, wiadomoœci i inne. Zasubskrybuj ulubione kana³y, udostêpniaj treœci znajomym, ogl¹daj filmy na dowolnym urz¹dzeniu. Nowy wygl¹d u³atwia ogl¹danie i odkrywanie filmów w YouTube. Wystarczy klikn¹æ ikonê lub przesun¹æ palcem po ekranie, aby prze³¹czaæ siê miêdzy polecanymi filmami, swoimi subskrypcjami i kontami. Mo¿esz te¿ zasubskrybowaæ swoje ulubione kana³y, tworzyæ playlisty, edytowaæ i publikowaæ filmy, dodawaæ komentarze, udostêpniaæ ciekawe treœci, przesy³aæ filmy na telewizor itd. – a wszystko to za pomoc¹ aplikacji. SZYBKIE WYSZUKIWANIE ULUBIONYCH FILMÓW • Przegl¹daj treœci proponowane dla Ciebie na karcie Strona g³ówna. • Ogl¹daj najnowsze filmy z ulubionych kana³ów na karcie Subskrypcje. • Wracaj do obejrzanych i polubionych filmów na karcie Konto. KONTAKT I UDOSTÊPNIANIE • WyraŸ swoje zdanie, daj¹c g³osy na tak, komentuj¹c i udostêpniaj¹c. Niech inni wiedz¹, co Ciê krêci. • Przesy³aj i edytuj swoje filmy, korzystaj¹c z filtrów i muzyki – a wszystko to w aplikacji.;https://play.google.com/store/apps/details?id=com.google.android.youtube;Get the official YouTube app for Android phones and tablets. See what the world is watching -- from the hottest music videos to what’s trending in gaming, entertainment, news, and more. Subscribe to channels you love, share with friends, and watch on any device. With a new design, you can have fun exploring videos you love more easily and quickly than before. Just tap an icon or swipe to switch between recommended videos, your subscriptions, or your account. You can also subscribe to your favorite channels, create playlists, edit and upload videos, express yourself with comments or shares, cast a video to your TV, and more – all from inside the app. FIND VIDEOS YOU LOVE FAST • Browse personal recommendations on the Home tab • See the latest from your favorite channels on the Subscriptions tab • Look up videos you’ve watched and liked on the Account tab CONNECT AND SHARE • Let people know how you feel with likes, comments, and shares • Upload and edit your own videos with filters and music – all inside the app;http://getapk.co/apk/com.google.android.youtube;;;Get the official YouTube app for Android phones and tablets. See what the world is watching -- from the hottest music videos to what&rsquo s trending in gaming, entertainment, news, and more. Subscribe to channels you love, share with friends, and watch on any device. With a new design, you can have fun exploring videos you love more easily and quickly than before. Just tap an icon or swipe to switch between recommended videos, your subscriptions, or your account. You can also subscribe to your favorite channels, create playlists, edit and upload videos, express yourself with comments or shares, cast a video to your TV, and more &ndash all from inside the app. FIND VIDEOS YOU LOVE FAST &bull Browse personal recommendations on the Home tab &bull See the latest from your favorite channels on the Subscriptions tab &bull Look up videos you&rsquo ve watched and liked on the Account tab CONNECT AND SHARE &bull Let people know how you feel with likes, comments, and shares &bull Upload and edit your own videos with filters and music &ndash all inside the app Get the official YouTube app for Android phones and tablets. See what the world is watching -- from the hottest music videos to what&rsquo s trending in gaming, entertainment, news, and more. Subscribe to channels you love, share with friends, and watch on any device. With a new design, you can have fun exploring videos you love more easily and quickly than before. Just tap an icon or swipe to switch between recommended videos, your subscriptions, or your account. You can also subscribe to your favorite channels, create playlists, edit and upload videos, express yourself with comments or shares, cast a video to your TV, and more &ndash all from inside the app. FIND VIDEOS YOU LOVE FAST &bull Browse personal recommendations on the Home tab &bull See the latest from your favorite channels on the Subscriptions tab &bull Look up videos you&rsquo ve watched and liked on the Account tab CONNECT AND SHARE &bull Let people know how you feel with likes, comments, and shares &bull Upload and edit your own videos with filters and music &ndash all inside the app;http://www.appbrain.com/app/com.google.android.youtube;com.google.android.youtube;In Play Store
Not found;;;;;;;;;com.samsung.android.app.galaxyfinder;Not found
Not found;;;;;;;;;com.sec.location.nsflp2;Not found
moBILET;moBILET to aplikacja, która pozwala: - kupowaæ elektroniczne bilety na przejazdy œrodkami komunikacji zbiorowej (autobusy, tramwaje, metro, kolej) - p³aciæ za faktyczny czas postoju w strefach p³atnego parkowania (op³ata naliczana po zakoñczeniu postoju!) Us³uga moBILET jest aktywna w ponad 100 miejscowoœciach w ca³ej Polsce, m.in. w aglomeracjach Krakowa, £odzi, Trójmiasta i Górnego Œl¹ska, w Warszawie, Poznaniu, Szczecinie, Toruniu i Lublinie. Aktualn¹ listê miast, mapê zasiêgu oraz dok³adny opis systemu znajdziesz na www.mobilet.pl. Do korzystania z aplikacji konieczne jest aktywowanie konta w systemie moBILET: 1) wejdŸ na www.mobilet.pl 2) naciœnij " wypróbuj" 3) podaj swój nr telefonu i e-mail oraz ustal has³o 4) zainstaluj aplikacjê 5) zasil swoje konto w systemie moBILET (dostêpna jest opcja szybkiego przelewu - PayU) 6) je¿eli parkujesz w SPP oznacz swój samochód winiet¹, samodzielnie wykonanym wydrukiem lub odrêczn¹ informacj¹;https://play.google.com/store/apps/details?id=pl.mobilet.app;;;;;;;pl.mobilet.app;In Play Store
Not found;;;;;;;;;com.samsung.android.themestore;Not found
Not found;;;;;;;;;com.sec.android.app.chromecustomizations;Not found
[Samsung] Always On Display;Find useful information quickly and easily without turning the screen on. Meet the even more upgraded Always On Display in Galaxy S8! 1. AOD content - The AOD provides a variety of clock designs and information. Use any content you like conveniently. - Clock: Digital clock, analogue clock, world clock, and Edge clock (You can choose colours and wallpapers.) - Calendar - Image: Select an image from Gallery or Smart Select and set it as wallpaper for the AOD screen. - Provides custom text, date, battery level, app notifications, and song information. 2. FaceWidgets - Experience different widgets on the AOD screen by double-tapping the clock area. You can easily play music on the turned off screen or check your schedule and alarm. - FaceWidgets configuration path: Settings > Lock screen and security > Information and FaceWidgets > FaceWidgets 3. Active clock - Provides Active clock that has a running second hand. 4. Pin to AOD - Pin text and images you wish to remember to the AOD screen. Pinned memo can be easily viewed and deleted. - You can pin memo to the AOD screen using Reminder and Share via. 5. AOD Themes - Download AOD-exclusive themes from Theme Store. Decorate your AOD screen uniquely with various themes. ZnajdŸ przydatne informacje szybko i ³atwo, bez obracania ekranu na. Spe³niaæ jeszcze bardziej zmodernizowane Zawsze na wystawie w Galaxy S8! 1. Zawartoœæ AOD - The AOD zapewnia ró¿norodnoœæ wzorów zegarów i informacji. U¿ywaæ ¿adnych treœci chcesz wygodnie. - Zegar: zegar cyfrowy, zegar analogowy, zegar œwiatowy, a zegar krawêdzi (Mo¿na wybraæ kolory i tapety). - Kalendarz - Zdjêcie: Wybierz zdjêcie z galerii lub w inteligentnym wybraæ i ustawiæ go jako tapetê na ekranie AOD. - Zapewnia w³asny tekst, data, poziom baterii, powiadomieñ aplikacji i informacji o utworze. 2. FaceWidgets - Doœwiadczenie ró¿ne wid¿ety na ekranie AOD przez dwukrotne dotkniêcie obszaru zegara. Mo¿na ³atwo odtwarzaæ muzykê na wy³¹czonym ekranie lub sprawdziæ swój harmonogram i alarm. - FaceWidgets œcie¿ka konfiguracji: Ustawienia> Ekran blokady i zabezpieczenia> Informacje i FaceWidgets> FaceWidgets 3. Aktywny zegar - Zapewnia aktywny zegar, który ma uruchomion¹ drug¹ rêkê. 4. Ko³ek do AOD - Pin tekst i obrazy, które chcesz zapamiêtaæ na ekranie AOD. Przypiête notatki mo¿na ³atwo przegl¹daæ i usuniête. - Mo¿na przypi¹æ notatki na ekranie przy u¿yciu AOD Przypomnienie i Udostêpnij przez. 5. AOD tematy - Pobierz AOD-wy³¹czne motywy z magazynu tematycznego. Udekoruj swój ekran AOD jednoznacznie z ró¿nych tematów.;https://play.google.com/store/apps/details?id=com.samsung.android.app.aodservice;;;;;;;com.samsung.android.app.aodservice;In Play Store
Jetpack Joyride;Bullet-powered jetpacks! Giant mechanical dragons! Birds that poop money! Suit up with a selection of the coolest jetpacks ever made and test your skills as legendary action hero Barry Steakfries. Over 500 million players can’t be wrong. Download FREE and start your adventure today! FEATURES: * Fly the coolest jetpacks in gaming history * Complete daring missions to boost your rank * Customise your look with ridiculous outfits * Dodge lasers, zappers, and guided missiles * Collect coins and make boatloads of money * Storm the lab in giant mechs and crazy vehicles * Equip high-tech gadgets and power-ups * Earn achievements and battle it out against friends * Test your reflexes with simple one-touch controls *** This game contains optional in-app purchases. You can disable this feature in the settings menu of your device. View our privacy policy at http://halfbrick.com/pp View our terms of service at http://halfbrick.com/tos Bullet zasilany jetpacks! Gigantyczne smoki mechaniczne! Ptaki, które rufa pieni¹dze! Dopasowaæ siê z wyborem najciekawszych odrzutowych w historii i sprawdziæ swoje umiejêtnoœci jako legendarny bohater akcja Steakfries Barry. Ponad 500 milionów graczy nie mo¿e siê myliæ. Do pobrania za darmo i rozpocznij swoj¹ przygodê ju¿ dziœ! CECHY: * Fly najfajniejszych plecaki odrzutowe w historii gier * Uzupe³nij œmia³e misje, aby zwiêkszyæ rangê * Dostosuj swój wygl¹d z œmiesznych strojach * Lasery Dodge, Zappers oraz pociski kierowane * Zbieraj monety i sprawiaj¹ boatloads pieniêdzy * Storm laboratorium w gigantyczne mechy i szalonych pojazdów * Wyposa¿ high-tech gad¿ety i bonusy * Zarabiaj osi¹gniêæ i zmierz¹ siê z przyjació³mi * SprawdŸ swój refleks z prostych kontroli jednodotykowych *** Ta gra zawiera opcjonalne zakupów w aplikacji. Mo¿na wy³¹czyæ tê funkcjê w menu ustawieñ urz¹dzenia. Zobacz nasz¹ politykê prywatnoœci w http://halfbrick.com/pp Zobacz nasze warunki korzystania z us³ugi na http://halfbrick.com/tos;https://play.google.com/store/apps/details?id=com.halfbrick.jetpackjoyride;Suit up with a selection of the coolest jetpacks ever made and take to the skies as Barry Steakfries, the lovable hero on a one-way trip to adventure! From the creators of the worldwide phenomenon Fruit Ninja comes the action-packed Jetpack Joyride, Halfbrick's most anticipated Android game ever! **** Join Barry as he breaks in to a secret laboratory to commandeer the experimental jetpacks from the clutches of science evildoers. After lift-off, simply touch the screen to ascend and release to descend, raining bullets, bubbles, rainbows and lasers downwards as you fly towards higher and higher scores! You'll start off with the legendary Machine Gun Jetpack to scatter the evil scientists of Legitimate Research, but throughout each game you'll collect coins and complete missions to earn cash and buy new gear in The Stash! Pick your favorite jetpack, snazzy outfit and stock up on items then get back out there! Get a boost of speed and power using the Lil' Stomper, Profit Bird and Crazy Freaking Teleporter, just a selection of the vehicles pickups available - all playable with one touch controls. Stay alive, get funky and lose yourself in Jetpack Joyride. There's so much to see and do, all the time in the world and more than enough jetpacks! As always, Barry Steakfries will provide! **** IMPORTANT NOTICE TO PARENTS This game may contain: - The ability to purchase optional content using real money. You can disable in-app purchases in the settings menu of your device. - Promotional material for Halfbrick products and trusted business partners. - Links to external social networking sites intended for users over the age of 13. - Direct links to the internet which may open the default web browser on your device. Privacy Policy: http://www.halfbrick.com/pp Terms of Service: http://www.halfbrick.com/tos **** LIKE JETPACK JOYRIDE ON FACEBOOK! http://www.facebook.com/jetpackjoyride FOLLOW HALFBRICK ON TWITTER! http://www.twitter.com/halfbrick **** GAME AND SOFTWARE © 2011-2016 HALFBRICK STUDIOS. HALFBRICK STUDIOS AND ITS LOGO ARE TRADEMARKS OF HALFBRICK STUDIOS PTY LTD. Back to the Future is a trademark and copyright of Universal Studios and U-Drive Joint Venture. Licensed by Universal Studios Licensing LLC. All Rights Reserved. **** PERMISSION REQUIREMENTS: Read/Write external storage required for shared login across our games and allows restoring of data on re-install of game.;http://getapk.co/apk/com.halfbrick.jetpackjoyride;;;;;com.halfbrick.jetpackjoyride;In Play Store
Not found;;;;;;;;;Durim.MIndigoDark.accesscontrol;Not found
Not found;;;;;;;;;com.samsung.android.app.cocktailbarservice;Not found
